Player,Clusters,R.Slope,BB.Slope,H.Slope,R.R^2,BB.R^2,H.R^2
Austin Hedges,1,0.298781165359,0.166980345857,0.724001666782,0.978971175482,0.96279715957,0.996441831584
Jose Osuna,3,0.335164835165,0.0810626266937,0.528651445642,0.972902815065,0.928441545575,0.981884935514
Buster Posey,0,0.442470096871,0.454424788437,1.0901183005,0.986466681405,0.989097889417,0.99610456562
Martin Maldonado,1,0.32555383811,0.114397850174,0.694177251027,0.991219339142,0.930309142698,0.987923404285
Yangervis Solarte,1,0.391931477315,0.336743063367,0.930047806524,0.990046180238,0.964561570703,0.995676644757
Yoenis Cespedes,0,0.537917795845,0.207768744354,1.04762872629,0.990061266573,0.898675854641,0.997664380041
Cam Perkins,3,0.200388947411,0.158334008589,0.374604975286,0.959948270999,0.896890903983,0.956719406931
Cliff Pennington,1,0.301541882336,0.175785521616,0.614310709339,0.974214890428,0.963198824412,0.993747759705
Ryan Rua,3,0.267185099846,0.255760368664,0.479166666667,0.977328222711,0.97554087847,0.98208006062
Jackie Bradley Jr.,0,0.472014526253,0.358011614741,0.983843195776,0.994749188984,0.969939868523,0.990367227769
Hunter Pence,1,0.400990604054,0.271074565654,0.943144836311,0.993732077917,0.959630861841,0.995952517874
Wilson Ramos,3,0.260508241758,0.141941391941,0.815453296703,0.951561839106,0.928798554128,0.963875360972
Jason Castro,1,0.426990960936,0.37831977098,0.762247819129,0.97291530152,0.988365260066,0.997004571519
Jarrett Parker,1,0.320480192077,0.207587034814,0.890948379352,0.970033380161,0.969154986717,0.982713503154
Evan Gattis,0,0.510782626304,0.181684722082,0.968735445986,0.989150941057,0.958901130828,0.994742125521
Stephen Vogt,1,0.245132962276,0.256388373531,0.620915275201,0.983721039321,0.936011728589,0.995159529796
Jose Ramirez,0,0.743696716851,0.306871032106,1.26284418647,0.990661383432,0.989949098128,0.993586890591
Drew Butera,3,0.262617354196,0.17146514936,0.561024182077,0.966769962375,0.918824645416,0.976418714761
Kolten Wong,0,0.581222762425,0.372788875734,1.04457263773,0.992554425542,0.988186336884,0.994185338441
Neil Walker,6,0.546757432996,0.433428758199,0.974677095778,0.989965255267,0.971365940139,0.991916804352
Alex Presley,0,0.373948036042,0.200402414487,1.12954247222,0.970189256376,0.974991795433,0.983253222582
Francisco Lindor,0,0.569896160958,0.346365633545,1.14582668205,0.984673388915,0.993141394988,0.994601878709
Shin-Soo Choo,6,0.678128134983,0.54528998249,0.985929361768,0.996438852902,0.97181090435,0.997714102492
Eduardo Nunez,0,0.538567465219,0.152787509366,1.3262185861,0.986056333906,0.989739387206,0.990492172586
Brandon Belt,6,0.576144244105,0.606059959458,0.867118318575,0.987347145348,0.992730110695,0.995220421843
Mike Napoli,1,0.511189072758,0.379145116147,0.70737511447,0.993988007419,0.977787193688,0.996888657253
Justin Smoak,6,0.596586433803,0.493475523912,1.03784134111,0.991481885006,0.987210690427,0.995644607303
Gregory Bird,3,0.454902867715,0.381706753006,0.583371877891,0.969642055183,0.951274739112,0.96315380263
Jacoby Ellsbury,1,0.559915759916,0.371998946999,0.769857844858,0.986998496189,0.98022885113,0.985278707279
Ryon Healy,0,0.459992141988,0.138882802288,1.05907487023,0.993569883881,0.981067659323,0.995606601179
Troy Tulowitzki,1,0.271453919215,0.267278989667,0.919298611836,0.96793933643,0.977072311583,0.99403560041
Brandon Guyer,3,0.338984289368,0.264340518816,0.569492144684,0.936105150183,0.93356220624,0.974152371058
JaCoby Jones,3,0.214636935392,0.143548694492,0.402248904136,0.941809453264,0.889368654237,0.977953211296
Jace Peterson,3,0.160992920292,0.268553414815,0.416998344546,0.916393022667,0.952808520825,0.973701452554
Omar Narvaez,1,0.257751985842,0.392188336009,0.783421821624,0.977472197247,0.966995526606,0.99693558556
Brandon Crawford,1,0.399405758561,0.297843002068,0.871203913457,0.988479407047,0.983633794176,0.994693304994
Daniel Descalso,1,0.387289188709,0.393671905939,0.693613186033,0.989966828897,0.986579831535,0.98578089924
Yan Gomes,1,0.383464648559,0.335538046859,0.750549450549,0.985706173867,0.97457093044,0.99521282668
Danny Valencia,0,0.480842289257,0.279812642532,0.991112810499,0.988336873684,0.97098310188,0.992135485975
Jason Kipnis,0,0.509888697122,0.350648092705,0.936256207953,0.98944797233,0.966455937416,0.995337101829
Mitch Moreland,1,0.479284585229,0.375731573239,0.814919836972,0.993239266946,0.975827123949,0.994688350552
Alex Avila,1,0.371625892644,0.541813305088,0.71973553832,0.983155349755,0.990810191595,0.983136518318
Ryan Zimmerman,0,0.623935099961,0.327565392354,1.06674087076,0.990465159494,0.981981859894,0.988619293659
Matt Carpenter,6,0.634250139532,0.737934600611,0.872549985226,0.994316927607,0.991439883821,0.9959194254
Trevor Plouffe,3,0.311275127513,0.250801080108,0.570345034503,0.943373690408,0.983502272797,0.967998376487
